Tapan Raychauhuri,"Born in Barsial, presen-day Bangladesh. Retired reader of South Asian History, St. Anthony",,,,,,,,,,,,,,,,,,,,,,
Babur,"founder of the Mughal empire in India, which he ruled from 1526 to 1530",http://en.wikipedia.org/wiki/Babur,,,,,,,,,,,,,,,,,,,,,
Shah Waliullah,Indian Islamic scholar and reformer from the eighteenth century,http://en.wikipedia.org/wiki/Shah_Waliullah,,,,,,,,,,,,,,,,,,,,,
Shaikh Ahmad Sirhindi,Indian Islamic scholar and Naqshbandi Sufi who lived in the late sixteenth/early seventeenth century,http://en.wikipedia.org/wiki/Sirhindi,,,,,,,,,,,,,,,,,,,,,
Antoine-Louis Henri de Polier,French adventurer and soldier who made his career in eighteenth century India,http://en.wikipedia.org/wiki/Antoine_Polier,,,,,,,,,,,,,,,,,,,,,
Shah Alam II,Mughal emperor from 1759 to 1806,http://en.wikipedia.org/wiki/Shah_Alam_II,,,,,,,,,,,,,,,,,,,,,
Mirza Najaf Khan,Persian adventurer in the Mughal court in the eighteenth century,http://en.wikipedia.org/wiki/Mirza_Najaf_Khan,,,,,,,,,,,,,,,,,,,,,
Robert Clive,Governor General of the British East India Company from 1757 to 1760,http://en.wikipedia.org/wiki/Lord_Clive,,,,,,,,,,,,,,,,,,,,,
Warren Hastings,Governor General of the British East India Company from 1774 to 1785,http://en.wikipedia.org/wiki/Warren_Hastings,,,,,,,,,,,,,,,,,,,,,
Mirza GhalibMirza Ghalib,influential nineteenth century Urdu and Persian poet,http://en.wikipedia.org/wiki/Mirza_Ghalib,,,,,,,,,,,,,,,,,,,,,
Faiz Ahmad Faiz,an important twentieth century Urdu poet,http://en.wikipedia.org/wiki/Faiz_Ahmad_Faiz,,,,,,,,,,,,,,,,,,,,,
Mohammad Iqbal,influential twentieth century Urdu poet and thinker,http://en.wikipedia.org/wiki/Muhammad_Iqbal,,,,,,,,,,,,,,,,,,,,,
Brian Hatcher,Professor of Theology at Tufts University,http://ase.tufts.edu/religion/faculty/hatcher.asp,,,,,,,,,,,,,,,,,,,,,
Urvashi Butalia,Indian feminist and historian. She is also the founder of India's first feminist publishing house Kali for Women,http://en.wikipedia.org/wiki/Urvashi_Butalia,,,,,,,,,,,,,,,,,,,,,
Ravinder Kaur,"Professor of Sociology at IIT, Delhi",http://iitd.academia.edu/RavinderKaur,,,,,,,,,,,,,,,,,,,,,
Ramnarayan Rawat,Professor of History at the University of Delaware,http://www.udel.edu/History/bio/rawat_ram.html,,,,,,,,,,,,,,,,,,,,,
Tai Yong Tan,Professor of History at National University of Singapore,http://www.nus.edu.sg/aboutus/management/tytan.php,,,,,,,,,,,,,,,,,,,,,
Gyanesh Kudaisya,Associate professor of History at National University of Singapore,http://www.fas.nus.edu.sg/sas/people/gyanesh-kudaisya.html,,,,,,,,,,,,,,,,,,,,,
Joya Chatterjee,Professor of History at Cambridge University,http://www.historycambridge.com/default.asp?contentID=846,,,,,,,,,,,,,,,,,,,,,
Ishtiaq Ahmed,Professor Emeritus of History at Stockholm University,http://www.statsvet.su.se/homepages/ishtiaq_ahmed.htm,,,,,,,,,,,,,,,,,,,,,
B.R. Ambedkar,charismatic leader of Dalits and an Indian politician who helped frame the constitution,http://en.wikipedia.org/wiki/B._R._Ambedkar,,,,,,,,,,,,,,,,,,,,,
H.S. Suhrawardy,a Bengali-Pakistani politician,http://en.wikipedia.org/wiki/Huseyn_Shaheed_Suhrawardy,,,,,,,,,,,,,,,,,,,,,
Sarat Chandra Bose,an Indian politician who played an important role in India's struggle for independence,http://en.wikipedia.org/wiki/Sarat_Chandra_Bose,,,,,,,,,,,,,,,,,,,,,
Abdul Hashim,a Bengali Muslim politician,http://en.wikipedia.org/wiki/Abul_Hashim,,,,,,,,,,,,,,,,,,,,,
Liaquat Ali Khan,the first Prime Minister of Pakistan and an important Muslim League and Pakistani politician,http://en.wikipedia.org/wiki/Liaquat_Ali_Khan,,,,,,,,,,,,,,,,,,,,,
Mohammad Ali Jinnah,"a leader of the All-India Muslim League, the founder of Pakistan and its first Governor General",http://en.wikipedia.org/wiki/Jinnah,,,,,,,,,,,,,,,,,,,,,
Kanshi Ram,founder of the Bahujan Samajwadi Party,http://en.wikipedia.org/wiki/Kanshi_Ram,,,,,,,,,,,,,,,,,,,,,
Beth Roy,sociologist whose research focuses on religiously-based discord in South Asia,http://www.bethroy.org/Home_Page.html,,,,,,,,,,,,,,,,,,,,,
Shyama Prasad Mookerjee,an Indian minister and politician,http://en.wikipedia.org/wiki/Syama_Prasad_Mookerjee,,,,,,,,,,,,,,,,,,,,,
Willem Van Schendel,Professor of History at the University of Amsterdam,http://www.iisg.nl/staff/wvs.php,,,,,,,,,,,,,,,,,,,,,
B.C. Roy,Chief Minister of West Bengal from 1948 to 1962,http://en.wikipedia.org/wiki/Bidhan_Chandra_Roy,,,,,,,,,,,,,,,,,,,,,
Sanjay Subrahmanyam,Professor of History at UCLA,http://www.history.ucla.edu/people/faculty?lid=3586,,,,,,,,,,,,,,,,,,,,,
Sheldon Pollock,Professor of Sanskrit and Indian Studies at Columbia University,http://www.columbia.edu/cu/mesaas/faculty/directory/pollock.html,,,,,,,,,,,,,,,,,,,,,
John Richards,a historian of the Mughal Empire,http://sahsa.uchicago.edu/node/19,,,,,,,,,,,,,,,,,,,,,
Kenneth Pomeranz,Professor of History at UC Irvine,http://www.humanities.uci.edu/history/faculty_profile_pomeranz.php,,,,,,,,,,,,,,,,,,,,,
Ghulam Hussain Tabatabai,eighteenth century Indian historian,http://en.wikipedia.org/wiki/Ghulam_Husain_Tabatabai,,,,,,,,,,,,,,,,,,,,,
Iqbal Ghani Khan,Reader in History at the Aligarh Muslim University,http://www.hindu.com/fline/fl2007/stories/20030411004511400.htm,,,,,,,,,,,,,,,,,,,,,
Kumkum Chatterjee,Professor of History at Penn State,http://history.psu.edu/faculty/chatterjeeKumkum.php,,,,,,,,,,,,,,,,,,,,,
Edward Gibbon,eighteenth century English historian most famous for writing The History of the Decline and Fall of the Roman Empire,http://en.wikipedia.org/wiki/Edward_Gibbon,,,,,,,,,,,,,,,,,,,,,
Jahandar Shah,Mughal emperor who ruled from 1712 to 1713,http://en.wikipedia.org/wiki/Jahandar_Shah,,,,,,,,,,,,,,,,,,,,,
Farrukhsiyar,Mughal emperor from 1713 to 1719,http://en.wikipedia.org/wiki/Farrukhsiyar,,,,,,,,,,,,,,,,,,,,,
Mohammad Shah,Mughal emperor from 1719 to 1748,http://en.wikipedia.org/wiki/Muhammad_Shah,,,,,,,,,,,,,,,,,,,,,
Polybius,Greek historian from the Hellenistic Period,http://en.wikipedia.org/wiki/Polybius,,,,,,,,,,,,,,,,,,,,,
Livy,Roman historian who lived in the early Roman Empire,http://en.wikipedia.org/wiki/Livy,,,,,,,,,,,,,,,,,,,,,
Niccolo Machiavelli,Italian historian and philosopher who lived during the Renaissance,http://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli,,,,,,,,,,,,,,,,,,,,,
Syed Hussain Ali Khan Barha,a powerful Mughal general from the early eighteenth century,http://en.wikipedia.org/wiki/Sayyid_Brothers,,,,,,,,,,,,,,,,,,,,,
Ali Wardi Khan,Nawab of Bengal between 1740 and 1756,http://en.wikipedia.org/wiki/Ali_Vardi_Khan,,,,,,,,,,,,,,,,,,,,,
Sarfaraz Khan,Nawab of Bengal from 1739 to 1740,http://en.wikipedia.org/wiki/Sarfaraz_Khan,,,,,,,,,,,,,,,,,,,,,
Siraj-ud-Daulah,last independent Nawab of Bengal ruling from 1756 to 1757,http://en.wikipedia.org/wiki/Siraj_ud-Daulah,,,,,,,,,,,,,,,,,,,,,
Mir Qasim,Nawab of Bengl from 1760 to 1763,http://en.wikipedia.org/wiki/Mir_Qasim,,,,,,,,,,,,,,,,,,,,,
Timur,fourteenth century conqueror also known as Tamerlane. The Mughals trace their lineage back to him,http://en.wikipedia.org/wiki/Timur,,,,,,,,,,,,,,,,,,,,,
Nadir Shah,the Shah of Iran from 1736 to 1747 and the founder of the Afsharid dynasty,http://en.wikipedia.org/wiki/Nadir_shah,,,,,,,,,,,,,,,,,,,,,
Hyder Ali,ruler of Mysore from 1761 to 1782,http://en.wikipedia.org/wiki/Hyder_Ali,,,,,,,,,,,,,,,,,,,,,
William Baillie,led the British East India Company in the Battle of Pollilur against Mysore in 1780,http://en.wikipedia.org/wiki/William_Baillie_(East_India_Company_officer),,,,,,,,,,,,,,,,,,,,,
Abdul Hamid I,Sultan of the Ottoman Empire from 1774 to 1789,http://en.wikipedia.org/wiki/Abdul_Hamid_I,,,,,,,,,,,,,,,,,,,,,
Louis XVI,King of France from 1774 to 1791,http://en.wikipedia.org/wiki/Louis_xvi,,,,,,,,,,,,,,,,,,,,,
Lord Cornwallis,Governor General of the British East India Company from 1786 to 1793,http://en.wikipedia.org/wiki/Lord_Cornwallis,,,,,,,,,,,,,,,,,,,,,
Napoleon Bonaparte,French military and political leader during the later stages of the French Revolution. He was also the Emperor of France from 1804 to 1814,http://en.wikipedia.org/wiki/Napoleon_Bonaparte,,,,,,,,,,,,,,,,,,,,,
Richard Wellesley,Governor General of the British East India Company from 1793 to 1805,"http://en.wikipedia.org/wiki/Richard_Wellesley,_1st_Marquess_Wellesley",,,,,,,,,,,,,,,,,,,,,
Mahadji Shinde,a Maratha general and ruler of the state of Gwalior in the eighteenth century,http://en.wikipedia.org/wiki/Mahadaji_Shinde,,,,,,,,,,,,,,,,,,,,,
Ranjit Singh,the first Maharaja of the Sikh Empire ruling from 1801 to 1839,http://en.wikipedia.org/wiki/Ranjit_Singh,,,,,,,,,,,,,,,,,,,,,
Burton Stein,a historian of India,http://en.wikipedia.org/wiki/Burton_Stein,,,,,,,,,,,,,,,,,,,,,
Peshwa,title for the rulers of the Maratha Empire,http://en.wikipedia.org/wiki/Maratha_Empire#Peshwas_2,,,,,,,,,,,,,,,,,,,,,
Selim III,Sultan of the Ottoman Empire from 1789 to 1807,http://en.wikipedia.org/wiki/Selim_III,,,,,,,,,,,,,,,,,,,,,
Mohammad Ali Khan Wallajah,Nawab of Arcot in India from 1752 to 1795,http://en.wikipedia.org/wiki/Muhammed_Ali_Khan_Wallajah,,,,,,,,,,,,,,,,,,,,,
Carl Schmitt,a twentieth century German philosopher and political theorist,http://en.wikipedia.org/wiki/Carl_Schmitt,,,,,,,,,,,,,,,,,,,,,
Thomas Hobbes,seventeenth century philosopher,http://en.wikipedia.org/wiki/Hobbes,,,,,,,,,,,,,,,,,,,,,
Utilitarianism,the doctrine that actions are right if they are useful for the majority,http://en.wikipedia.org/wiki/Utilitarianism,,,,,,,,,,,,,,,,,,,,,
James Mill,a Scottish historian and Utilitarian philosopher,http://en.wikipedia.org/wiki/James_Mill,,,,,,,,,,,,,,,,,,,,,
